,id,name,artists,danceability,tempo,duration_ms
78,6Za3190Sbw39BBC77WSS1,Criminal,Natti Natasha,0.8140000000000001,79.997,232550.0
79,1ZAyjvIk9YiD76yYy0TEG,Plug Walk,Rich The Kid,0.8759999999999999,94.98100000000001,175230.0
80,0u2P5u6lvoDfwTYjAADbn,lovely (with Khalid),Billie Eilish,0.35100000000000003,115.28399999999999,200186.0
81,2UVbBKQOdFAekPTRsnkzc,Stir Fry,Migos,0.815,181.967,190288.0
82,7KXjTSCq5nL1LoYtL7XAw,HUMBLE.,Kendrick Lamar,0.9079999999999999,150.011,177000.0
83,48zFZh27QU5qsrBjn4C2F,Vaina Loca,Ozuna,0.754,93.98299999999999,176133.0
84,1bhUWB0zJMIKr9yVPrkEu,Perfect Duet (Ed Sheeran & Beyonc?),Ed Sheeran,0.5870000000000001,94.992,259550.0
85,5cepAtqnEQ6yVG6088zMM,Coraz?n (feat. Nego do Borel),Maluma,0.722,198.075,184720.0
86,5Z3GHaZ6ec9bsiI5Benrb,Young Dumb & Broke,Khalid,0.7979999999999999,136.94899999999998,202547.0
87,5Y9fnynLlIvqtM710MHzf,S?guelo Bailando,Ozuna,0.855,98.015,226800.0
88,3Ga6eKrUFf12ouh9Yw3v2,Downtown,Anitta,0.775,166.00799999999998,193456.0
89,3xcCix7Jv1Rp90YVmgo35,Bella,Wolfine,0.909,94.016,197120.0
90,5N5k9nd479b1xpDZ4usjr,Promises (with Sam Smith),Calvin Harris,0.7809999999999999,123.07,213309.0
91,6vN77lE9LK6HP2DewaN6H,Yes Indeed,Lil Baby,0.9640000000000001,119.958,142273.0
92,2P91MQbaiQOfbiz9VqhqK,I Like Me Better,Lauv,0.752,91.97,197437.0
93,2xGjteMU3E1tkEPVFBO08,This Is Me,Keala Settle,0.284,191.702,234707.0
94,3GVkPk8mqxz0itaAriG1L,Everybody Dies In Their Nightmares,XXXTENTACION,0.7340000000000001,129.953,95467.0
95,630sXRhIcfwr2e4RdNtjK,Rewrite The Stars,Zac Efron,0.684,125.046,217440.0
96,2xmrfQpmS2iJExTlklLoA,I Miss You (feat. Julia Michaels),Clean Bandit,0.638,105.07600000000001,205748.0
97,5WvAo7DNuPRmk4APhdPzi,No Brainer,DJ Khaled,0.552,135.702,260000.0
98,1j4kHkkpqZRBwE0A4CN4Y,Dusk Till Dawn - Radio Edit,ZAYN,0.258,180.043,239000.0
99,3EPXxR3ImUwfayaurPi3c,Be Alright,Dean Lewis,0.5529999999999999,126.684,196373.0
